Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome
16,16-01-2025,Revenue,3232,1442,"? 3,692.00",? 574.00,"? 3,863.00",0.64,2.49,2449,"? 3,677.00",5,1.093358439,0.895743925,FALSE,0.639002453,1
17,17-01-2025,Asset,1701,2561,"? 3,961.00","? 3,650.00","? 1,196.00",0.21,0.55,2577,? 699.00,7,1.898361701,0.959749648,FALSE,0.326042518,1
18,18-01-2025,Revenue,4044,3825,"? 2,580.00","? 1,441.00","? 2,870.00",0.60,1.93,1564,"? 3,930.00",1,1.584761799,0.934580418,FALSE,0.804987735,1
19,19-01-2025,Liability,2747,2662,"? 3,756.00","? 2,371.00","? 1,509.00",0.64,0.73,3376,"? 3,750.00",7,0.821550847,0.885511124,FALSE,0.539860998,1
20,20-01-2025,Expense,4625,1555,"? 1,801.00",? 959.00,"? 3,039.00",0.44,2.14,1217,? 369.00,9,1.183871136,0.900727196,FALSE,0.923753066,1
21,21-01-2025,Revenue,1651,2079,? 518.00,"? 2,570.00","? 2,781.00",0.32,0.81,1356,"? 1,061.00",7,1.914570797,0.918738643,FALSE,0.31582175,1
22,22-01-2025,Expense,1358,3832,"? 3,694.00",? 326.00,"? 2,370.00",0.52,2.48,3266,"? 2,250.00",3,0.871114212,0.885215443,FALSE,0.255928046,1
23,23-01-2025,Asset,1790,1459,"? 1,854.00","? 1,302.00",? 167.00,0.39,2.87,4390,"? 2,503.00",2,1.425137297,0.946337459,FALSE,0.344235487,1
24,24-01-2025,Liability,758,1701,? 294.00,"? 3,482.00",? 943.00,0.79,0.63,583,"? 1,300.00",2,1.985590557,0.980514432,FALSE,0.133278823,1
25,25-01-2025,Revenue,2667,2109,"? 1,759.00","? 2,582.00","? 1,063.00",0.55,1.98,1254,"? 1,224.00",5,1.076067083,0.810621447,FALSE,0.523507768,1
26,26-01-2025,Liability,1377,511,"? 3,759.00","? 3,057.00",? 159.00,0.30,2.83,1415,? 244.00,3,1.678947825,0.883356412,FALSE,0.259811938,1
27,27-01-2025,Liability,2000,4341,"? 2,212.00","? 3,250.00","? 1,688.00",0.78,2.53,1358,"? 3,439.00",7,1.552823592,0.842186256,FALSE,0.387162715,1
28,28-01-2025,Expense,3699,662,"? 3,438.00","? 4,074.00",? 490.00,0.73,0.85,4912,"? 1,717.00",7,1.793691418,0.846976746,FALSE,0.734464432,1
29,29-01-2025,Revenue,157,4357,? 814.00,"? 3,210.00",? 805.00,0.77,0.60,4073,? 592.00,5,0.979048933,0.832860044,FALSE,0.010425184,1
30,30-01-2025,Liability,3956,4461,"? 3,913.00","? 2,905.00","? 3,148.00",0.61,0.75,3624,"? 1,380.00",6,1.32506029,0.806399335,FALSE,0.786999182,1
31,31-01-2025,Liability,229,3194,"? 1,290.00","? 1,984.00","? 1,173.00",0.65,1.55,4640,? 571.00,2,1.568439274,0.831011113,FALSE,0.025143091,1
32,01-02-2025,Revenue,1045,2588,"? 1,293.00","? 2,942.00","? 3,060.00",0.25,1.39,605,"? 3,220.00",4,1.520268149,0.839995119,FALSE,0.191946034,1
33,02-02-2025,Liability,781,3675,"? 1,934.00","? 4,296.00","? 1,712.00",0.68,2.72,3352,"? 1,193.00",2,0.683399233,0.858410474,FALSE,0.137980376,1
34,03-02-2025,Revenue,3879,1360,? 874.00,? 303.00,"? 3,883.00",0.66,2.17,2531,"? 1,045.00",4,1.007385222,0.869938589,FALSE,0.771259199,1
35,04-02-2025,Revenue,888,578,"? 2,423.00","? 2,372.00","? 1,028.00",0.49,2.65,575,"? 2,453.00",4,1.171062112,0.814225719,FALSE,0.159852821,1
36,05-02-2025,Revenue,603,1075,"? 2,082.00","? 4,657.00","? 1,538.00",0.21,2.39,4666,"? 3,643.00",9,1.821081025,0.843616761,FALSE,0.10159444,1
37,06-02-2025,Expense,2392,2664,"? 2,591.00","? 2,970.00",? 633.00,0.38,1.43,2710,? 593.00,4,1.206829309,0.830488289,FALSE,0.46729354,1
38,07-02-2025,Asset,4671,570,"? 2,423.00","? 4,452.00",? 314.00,0.26,1.18,4492,? 445.00,6,1.314355723,0.961302787,FALSE,0.933156173,1
39,08-02-2025,Revenue,2945,1118,"? 1,940.00","? 4,490.00","? 3,376.00",0.50,1.86,4557,"? 1,269.00",2,1.514048549,0.85519584,FALSE,0.580335241,1
40,09-02-2025,Expense,1782,3524,"? 1,168.00","? 2,668.00","? 3,350.00",0.45,0.51,4558,? 363.00,6,1.443123758,0.937557516,FALSE,0.342600164,1
41,10-02-2025,Asset,308,2478,"? 1,504.00","? 4,762.00",? 499.00,0.29,1.97,982,"? 3,149.00",3,0.833380603,0.990078771,FALSE,0.041291905,1
42,11-02-2025,Revenue,451,3797,"? 3,078.00","? 4,426.00","? 3,255.00",0.55,1.45,2543,"? 2,542.00",1,1.035449512,0.819488485,FALSE,0.070523303,1
43,12-02-2025,Asset,2513,2903,"? 2,391.00","? 3,653.00","? 3,517.00",0.78,1.77,3301,"? 1,805.00",5,1.740186541,0.9768581,FALSE,0.4920278,1
44,13-02-2025,Liability,2391,3627,"? 3,704.00","? 2,227.00",? 869.00,0.21,2.84,3649,"? 2,745.00",2,1.9121817,0.840068763,FALSE,0.467089125,1
45,14-02-2025,Revenue,4123,745,"? 1,672.00",? 775.00,"? 2,185.00",0.67,1.43,842,? 193.00,3,1.2276626,0.991520096,FALSE,0.821136549,1
46,15-02-2025,Revenue,1096,3784,"? 1,742.00",? 616.00,"? 3,454.00",0.46,0.66,1239,"? 2,292.00",5,1.21716973,0.91287601,FALSE,0.202371218,1
47,16-02-2025,Revenue,1877,4330,"? 1,131.00","? 4,319.00","? 3,859.00",0.77,2.02,2173,"? 3,544.00",6,1.915310622,0.873756109,FALSE,0.362019624,1
48,17-02-2025,Expense,4154,2431,"? 3,950.00","? 2,531.00","? 2,872.00",0.41,1.72,2835,"? 1,358.00",7,1.931355958,0.914437629,FALSE,0.827473426,1
49,18-02-2025,Asset,3863,1086,"? 2,694.00","? 3,524.00","? 1,597.00",0.62,2.15,3863,? 429.00,9,0.766989197,0.893786253,FALSE,0.767988553,1
50,19-02-2025,Expense,1554,2221,"? 1,433.00","? 4,757.00","? 2,171.00",0.62,1.77,3848,"? 3,934.00",8,0.616980247,0.922053668,FALSE,0.295993459,1
51,20-02-2025,Revenue,1145,725,"? 2,919.00","? 3,415.00","? 3,984.00",0.61,1.52,103,"? 3,824.00",1,1.897756106,0.850945924,FALSE,0.212387572,1
52,21-02-2025,Asset,3035,1763,? 686.00,"? 1,899.00","? 3,507.00",0.42,1.68,3504,"? 1,168.00",6,0.696734627,0.806027073,FALSE,0.598732625,1
53,22-02-2025,Revenue,1583,3180,"? 2,808.00","? 3,311.00","? 3,756.00",0.37,2.89,3056,"? 1,901.00",4,0.93055178,0.892156871,FALSE,0.301921504,1
54,23-02-2025,Asset,3223,1548,"? 3,669.00","? 3,033.00","? 1,624.00",0.66,0.67,4710,"? 1,865.00",5,0.542510151,0.964435749,FALSE,0.637162715,1
55,24-02-2025,Revenue,4713,713,"? 2,297.00","? 1,132.00","? 3,789.00",0.37,2.16,3187,"? 2,920.00",5,1.254452295,0.939062797,FALSE,0.941741619,1
56,25-02-2025,Revenue,518,1473,? 666.00,? 559.00,"? 2,191.00",0.49,2.28,1810,"? 3,558.00",6,1.202394642,0.828438256,FALSE,0.084219133,1
57,26-02-2025,Expense,633,1331,"? 1,753.00","? 3,002.00",? 708.00,0.30,1.62,4507,"? 1,837.00",8,1.294874263,0.86707157,FALSE,0.107726901,1
58,27-02-2025,Asset,1911,3807,"? 2,924.00","? 3,687.00","? 2,798.00",0.41,2.11,1341,"? 2,096.00",3,1.461339772,0.837540056,FALSE,0.368969747,1
59,28-02-2025,Revenue,3846,3617,? 495.00,"? 1,572.00",? 957.00,0.42,2.26,1987,? 671.00,3,1.264975661,0.885593643,TRUE,0.764513491,1
60,01-03-2025,Expense,3068,1622,"? 2,919.00","? 2,971.00","? 1,480.00",0.75,2.27,1751,"? 2,380.00",5,1.56443138,0.938193412,FALSE,0.605478332,1
61,02-03-2025,Expense,1493,2546,"? 2,739.00","? 3,939.00","? 1,389.00",0.30,2.64,2311,"? 2,408.00",6,1.72326678,0.804581881,FALSE,0.283524121,1
62,03-03-2025,Revenue,2136,984,? 730.00,"? 3,561.00","? 3,802.00",0.78,2.02,2832,"? 1,003.00",5,1.504078684,0.814542113,FALSE,0.414963205,1
63,04-03-2025,Revenue,1822,1041,? 766.00,"? 1,769.00","? 1,654.00",0.31,1.22,2532,"? 3,643.00",4,0.908505621,0.828123065,FALSE,0.350776778,1
64,05-03-2025,Liability,4441,3719,"? 3,403.00","? 1,742.00","? 3,055.00",0.75,0.76,4126,"? 3,163.00",7,0.967146083,0.813861537,FALSE,0.886140638,1
65,06-03-2025,Expense,402,3247,"? 3,288.00","? 1,052.00","? 1,450.00",0.21,1.96,3291,"? 1,775.00",1,1.31229855,0.84104573,FALSE,0.06050695,1
66,07-03-2025,Revenue,3397,3124,? 722.00,"? 4,461.00",? 261.00,0.31,1.28,111,"? 2,927.00",7,0.997177497,0.993347133,FALSE,0.672730989,0
67,08-03-2025,Asset,4636,536,"? 2,209.00","? 4,062.00","? 1,534.00",0.62,2.34,4383,? 252.00,3,0.906016413,0.903547965,FALSE,0.926001635,1
68,09-03-2025,Revenue,2438,3692,"? 2,565.00",? 343.00,"? 2,311.00",0.56,0.90,3865,"? 2,257.00",5,0.944680328,0.92205494,FALSE,0.476696648,1
69,10-03-2025,Liability,1140,2315,? 721.00,"? 3,037.00","? 1,152.00",0.61,1.56,4081,? 303.00,6,0.903208403,0.891115264,FALSE,0.211365495,1
70,11-03-2025,Asset,3488,557,"? 3,699.00","? 4,184.00","? 2,116.00",0.75,2.20,1058,? 966.00,5,1.206410739,0.97010663,FALSE,0.691332788,1
71,12-03-2025,Expense,2983,3747,"? 3,140.00","? 3,005.00","? 3,370.00",0.26,2.89,4171,"? 1,314.00",8,1.710018969,0.986618698,FALSE,0.588103025,1
72,13-03-2025,Liability,2101,1216,"? 1,500.00","? 1,169.00","? 2,448.00",0.78,0.63,4167,"? 1,981.00",2,0.961649693,0.855508129,FALSE,0.407808667,1
73,14-03-2025,Revenue,1672,3988,? 237.00,"? 1,658.00","? 2,165.00",0.73,1.33,215,"? 1,660.00",7,1.19521113,0.868685233,FALSE,0.320114473,1
74,15-03-2025,Revenue,1292,884,"? 3,759.00","? 2,785.00",? 648.00,0.51,1.23,3036,? 538.00,2,0.61806653,0.931148033,FALSE,0.242436631,1
75,16-03-2025,Asset,2358,3775,"? 1,666.00","? 2,650.00",? 880.00,0.62,0.88,1818,"? 2,490.00",1,1.028531692,0.936104084,TRUE,0.460343418,1
76,17-03-2025,Liability,157,1956,"? 1,164.00","? 2,890.00",? 755.00,0.51,2.55,4163,"? 2,652.00",3,0.669265417,0.833869502,FALSE,0.010425184,1
77,18-03-2025,Liability,2463,1208,? 461.00,"? 4,228.00","? 1,192.00",0.32,2.43,454,"? 3,598.00",2,1.734715546,0.864236272,FALSE,0.481807032,1
78,19-03-2025,Asset,4917,2063,"? 1,852.00",? 399.00,"? 2,549.00",0.50,1.36,357,"? 1,562.00",4,0.639027595,0.833587684,TRUE,0.983442355,1
79,20-03-2025,Expense,1390,1884,"? 1,026.00","? 4,725.00","? 2,266.00",0.43,1.75,136,"? 3,201.00",8,1.868557372,0.97036265,FALSE,0.262469338,1
80,21-03-2025,Asset,2857,1552,"? 2,432.00","? 4,399.00","? 1,432.00",0.38,2.22,3740,"? 1,551.00",6,0.955126142,0.936368178,FALSE,0.562346688,1
81,22-03-2025,Asset,1468,3237,"? 3,275.00",? 866.00,"? 3,888.00",0.65,0.77,3694,"? 1,850.00",3,1.618468841,0.851640124,FALSE,0.278413737,0
82,23-03-2025,Asset,3313,1014,? 648.00,"? 3,617.00",? 900.00,0.77,0.54,3874,"? 1,222.00",6,1.693792716,0.883550723,FALSE,0.655560098,1
83,24-03-2025,Asset,755,2123,"? 3,727.00","? 2,370.00","? 2,058.00",0.70,0.55,1736,"? 1,655.00",4,0.940816827,0.907121663,FALSE,0.132665576,1
84,25-03-2025,Liability,1589,1847,? 485.00,"? 3,529.00","? 2,580.00",0.42,1.56,1533,"? 2,619.00",5,1.870596815,0.859495311,FALSE,0.303147997,1
85,26-03-2025,Asset,4509,3443,? 969.00,"? 2,261.00","? 1,724.00",0.48,2.96,649,? 264.00,8,1.346726836,0.973739492,FALSE,0.900040883,1
86,27-03-2025,Asset,1066,4020,? 420.00,"? 2,430.00",? 310.00,0.40,2.67,1370,"? 2,174.00",3,1.506525967,0.860160528,FALSE,0.196238757,1
87,28-03-2025,Expense,1322,1950,"? 1,021.00","? 4,304.00","? 3,347.00",0.35,0.51,1731,? 757.00,5,1.442088359,0.8283787,FALSE,0.248569092,1
88,29-03-2025,Asset,1165,3764,"? 3,051.00","? 2,581.00","? 2,607.00",0.64,2.28,3135,? 671.00,2,1.60483808,0.892858243,FALSE,0.216475879,0
89,30-03-2025,Revenue,720,811,"? 3,919.00","? 4,158.00","? 3,465.00",0.34,2.36,4820,"? 1,195.00",6,0.711846078,0.839765536,FALSE,0.125511038,1
90,31-03-2025,Liability,2457,2138,"? 1,314.00","? 2,488.00","? 1,964.00",0.52,1.23,741,? 384.00,5,0.858166615,0.90769096,FALSE,0.48058054,1
91,01-04-2025,Liability,3664,1791,? 781.00,"? 4,677.00","? 2,630.00",0.69,0.88,4296,"? 1,408.00",4,1.799597689,0.994711697,FALSE,0.727309894,1
92,02-04-2025,Asset,3294,4385,"? 2,875.00","? 2,448.00",? 912.00,0.65,2.23,999,"? 1,953.00",9,0.645540989,0.940446798,FALSE,0.651676206,1
93,03-04-2025,Revenue,841,2286,"? 1,057.00","? 4,799.00",? 866.00,0.62,2.21,3955,"? 2,943.00",1,0.876017872,0.916745748,FALSE,0.150245298,1
94,04-04-2025,Expense,1797,1127,"? 2,096.00","? 1,532.00","? 1,073.00",0.21,0.94,2460,? 332.00,7,1.990775484,0.913226526,FALSE,0.345666394,1
95,05-04-2025,Revenue,541,2268,? 769.00,"? 3,307.00","? 1,680.00",0.49,2.18,3734,"? 3,005.00",9,1.747899993,0.949978141,FALSE,0.088920687,1
96,06-04-2025,Revenue,3200,4108,? 828.00,"? 2,628.00","? 2,703.00",0.50,2.30,1101,? 178.00,7,1.998392322,0.960262625,FALSE,0.632461161,1
97,07-04-2025,Liability,4688,1993,"? 1,140.00","? 4,882.00","? 2,743.00",0.55,2.91,4592,"? 2,408.00",9,0.879917747,0.888024408,FALSE,0.936631235,1
98,08-04-2025,Liability,1260,2917,"? 2,307.00","? 1,793.00",? 848.00,0.21,1.25,4095,"? 3,259.00",7,1.606681079,0.82045647,FALSE,0.235895339,1
99,09-04-2025,Liability,801,3339,? 571.00,"? 1,210.00",? 800.00,0.65,2.77,2773,? 985.00,6,1.713719749,0.816261102,FALSE,0.142068684,1
100,10-04-2025,Revenue,3964,1385,? 348.00,? 917.00,? 654.00,0.32,2.77,762,? 776.00,2,1.948354076,0.831880813,FALSE,0.788634505,1
101,11-04-2025,Asset,4943,2588,"? 3,311.00",? 378.00,"? 2,052.00",0.47,1.35,129,"? 1,381.00",8,0.552368382,0.884483131,FALSE,0.988757155,1
102,12-04-2025,Revenue,3960,677,"? 1,694.00","? 1,090.00","? 2,313.00",0.41,0.57,2461,"? 3,374.00",3,1.363302669,0.980469489,FALSE,0.787816844,1
103,13-04-2025,Liability,2156,1740,"? 1,399.00","? 3,139.00","? 3,741.00",0.24,0.95,3614,"? 2,129.00",3,1.378935687,0.897150391,FALSE,0.419051513,1
104,14-04-2025,Expense,4157,2360,"? 3,903.00","? 4,885.00","? 1,899.00",0.45,1.88,3722,"? 1,158.00",2,1.459496943,0.979950666,FALSE,0.828086672,1
105,15-04-2025,Liability,1636,2461,? 273.00,"? 3,597.00",? 278.00,0.63,2.53,1475,"? 2,590.00",3,1.840575395,0.944935501,FALSE,0.312755519,1
106,16-04-2025,Expense,2488,3137,"? 3,932.00",? 910.00,"? 3,036.00",0.32,2.07,3181,"? 1,720.00",1,1.01447939,0.954015695,FALSE,0.486917416,1
107,17-04-2025,Asset,808,2245,"? 1,141.00","? 1,630.00","? 1,490.00",0.29,1.63,2090,"? 1,617.00",9,1.673164651,0.933389014,FALSE,0.143499591,1
108,18-04-2025,Liability,833,2801,"? 3,960.00",? 574.00,"? 3,221.00",0.35,1.64,1367,"? 3,403.00",5,0.614814286,0.816158495,FALSE,0.148609975,1
109,19-04-2025,Liability,4977,4319,? 655.00,"? 2,483.00",? 907.00,0.42,2.29,2906,"? 2,344.00",8,0.507913282,0.813994332,FALSE,0.995707277,1
110,20-04-2025,Revenue,3303,3394,"? 1,665.00","? 1,776.00","? 3,960.00",0.75,2.63,4632,? 458.00,8,1.882287519,0.850177223,FALSE,0.653515944,0
111,21-04-2025,Revenue,3680,1687,"? 2,284.00","? 4,893.00","? 1,496.00",0.42,2.07,4417,"? 2,734.00",4,1.644557063,0.950437367,FALSE,0.73058054,1
112,22-04-2025,Asset,341,1764,"? 3,823.00","? 4,997.00","? 1,337.00",0.49,0.79,3588,"? 2,352.00",3,0.675045528,0.912559601,FALSE,0.048037612,1
113,23-04-2025,Liability,1497,1542,? 356.00,"? 4,215.00","? 1,221.00",0.61,2.15,188,"? 3,062.00",8,0.755517955,0.842375518,FALSE,0.284341783,1
114,24-04-2025,Expense,4533,2813,"? 1,465.00","? 4,530.00","? 1,919.00",0.57,1.77,1698,"? 3,441.00",2,1.248337404,0.835440185,FALSE,0.904946852,1
115,25-04-2025,Expense,4398,2938,"? 3,773.00","? 1,878.00","? 3,229.00",0.22,1.36,2119,? 813.00,9,1.950508789,0.924357459,FALSE,0.877350777,1
116,26-04-2025,Expense,1842,837,"? 2,242.00","? 4,510.00",? 832.00,0.49,2.24,3064,"? 1,276.00",2,0.575904569,0.960883682,FALSE,0.354865086,1
117,27-04-2025,Liability,2361,862,"? 3,820.00","? 4,185.00","? 3,685.00",0.48,2.80,1692,"? 3,570.00",2,1.017131059,0.831071897,FALSE,0.460956664,1
118,28-04-2025,Expense,368,3593,"? 1,148.00","? 3,776.00","? 1,403.00",0.65,1.12,4952,"? 1,064.00",5,0.762194065,0.968883381,FALSE,0.053556827,1
119,29-04-2025,Asset,2774,4327,? 253.00,"? 3,363.00","? 3,191.00",0.57,0.70,2937,"? 3,215.00",9,1.862146587,0.85739637,FALSE,0.545380213,1
120,30-04-2025,Liability,4017,2945,"? 3,000.00","? 2,436.00",? 427.00,0.69,2.68,2129,"? 1,164.00",7,1.961708569,0.800572928,TRUE,0.79946852,1
121,01-05-2025,Expense,4537,2375,"? 2,908.00","? 2,608.00",? 794.00,0.39,2.86,3232,? 208.00,4,1.358119997,0.926678988,FALSE,0.905764513,1
122,02-05-2025,Expense,2909,2841,"? 2,897.00","? 1,338.00","? 1,176.00",0.57,2.50,721,? 214.00,8,1.003788074,0.840202754,FALSE,0.572976288,1
123,03-05-2025,Expense,3745,1226,"? 3,968.00","? 1,659.00",? 259.00,0.40,1.60,3386,"? 2,699.00",9,1.754993454,0.978760082,TRUE,0.743867539,1
124,04-05-2025,Expense,498,984,"? 1,730.00","? 4,007.00","? 2,503.00",0.40,2.75,1451,"? 3,014.00",2,1.684729947,0.83045837,FALSE,0.080130826,1
125,05-05-2025,Expense,342,1287,"? 2,277.00","? 1,329.00","? 2,441.00",0.57,0.92,1243,? 234.00,2,1.113764342,0.92787226,FALSE,0.048242028,1
126,06-05-2025,Liability,3108,1675,? 430.00,"? 4,768.00",? 903.00,0.72,2.16,3923,"? 3,108.00",3,0.915657734,0.87941272,FALSE,0.613654947,0
127,07-05-2025,Asset,3740,584,"? 3,353.00",? 308.00,"? 3,548.00",0.75,1.55,4635,"? 2,996.00",1,1.735985473,0.905405656,FALSE,0.742845462,1
128,08-05-2025,Revenue,212,3778,"? 1,704.00","? 1,756.00",? 380.00,0.78,1.81,1052,"? 1,860.00",2,1.721977808,0.911132018,FALSE,0.021668029,0
129,09-05-2025,Expense,2091,4136,"? 2,693.00","? 1,553.00",? 104.00,0.37,0.92,4022,"? 3,784.00",4,1.23740068,0.861349995,FALSE,0.405764513,1
130,10-05-2025,Asset,1191,1666,? 551.00,"? 2,634.00",? 611.00,0.44,2.97,2863,"? 3,930.00",4,1.646549301,0.962453862,FALSE,0.221790679,1
131,11-05-2025,Expense,2067,768,? 637.00,"? 3,049.00",? 254.00,0.43,2.26,4207,? 631.00,4,1.917348355,0.968108297,FALSE,0.400858545,1
132,12-05-2025,Liability,1658,1690,"? 3,798.00","? 2,019.00",? 716.00,0.78,0.73,3104,"? 3,199.00",9,1.104621988,0.927321647,FALSE,0.317252657,1
133,13-05-2025,Asset,2959,981,"? 3,540.00","? 4,174.00","? 1,913.00",0.27,2.23,3747,"? 1,101.00",1,1.804789847,0.984367154,FALSE,0.583197056,1
134,14-05-2025,Revenue,3117,1329,"? 2,675.00",? 965.00,? 104.00,0.42,2.55,1224,"? 1,904.00",7,1.475893498,0.868338391,FALSE,0.615494685,1
135,15-05-2025,Liability,4709,641,"? 1,729.00","? 4,285.00","? 1,226.00",0.56,1.61,442,"? 3,839.00",8,1.040733646,0.891153052,FALSE,0.940923957,1
136,16-05-2025,Revenue,1720,3560,"? 2,149.00","? 4,818.00","? 3,179.00",0.30,1.04,3996,"? 1,076.00",4,0.920337941,0.943143416,FALSE,0.32992641,1
137,17-05-2025,Revenue,1147,3032,"? 3,219.00","? 2,222.00",? 203.00,0.54,1.07,1778,? 107.00,2,0.57381659,0.903778931,FALSE,0.212796402,1
138,18-05-2025,Liability,506,2832,"? 1,636.00",? 347.00,"? 3,371.00",0.48,2.63,4351,"? 1,695.00",5,0.926838224,0.812911333,FALSE,0.081766149,1
139,19-05-2025,Expense,179,3934,"? 2,094.00","? 2,050.00","? 2,935.00",0.80,1.02,2588,"? 1,956.00",8,1.00227142,0.886073066,FALSE,0.014922322,1
140,20-05-2025,Liability,4626,2430,? 803.00,"? 3,365.00",? 344.00,0.22,2.23,3302,"? 2,932.00",2,0.928269123,0.833693856,FALSE,0.923957482,1
141,21-05-2025,Expense,4369,3924,"? 2,050.00","? 2,556.00",? 129.00,0.60,1.07,4533,"? 3,658.00",2,1.900528018,0.959337621,FALSE,0.871422731,1
142,22-05-2025,Asset,4067,614,"? 2,717.00","? 2,649.00","? 2,360.00",0.23,2.70,4540,"? 2,859.00",9,0.65746487,0.945258109,FALSE,0.809689289,1
143,23-05-2025,Revenue,3756,1405,"? 2,780.00","? 2,201.00",? 316.00,0.70,2.92,4698,"? 1,220.00",2,0.982543414,0.894702265,FALSE,0.746116108,1
144,24-05-2025,Asset,351,734,"? 1,904.00","? 4,813.00","? 2,526.00",0.29,2.02,2176,"? 2,239.00",8,0.577633328,0.97770418,FALSE,0.050081766,1
145,25-05-2025,Liability,3528,1809,"? 3,892.00","? 4,879.00","? 2,275.00",0.64,2.23,3606,"? 2,869.00",7,1.945064474,0.979280205,FALSE,0.699509403,1
146,26-05-2025,Revenue,443,3139,"? 2,101.00","? 4,629.00","? 1,735.00",0.61,1.85,3607,"? 3,125.00",3,1.036400449,0.824635392,TRUE,0.06888798,0
147,27-05-2025,Liability,3731,4479,"? 1,046.00","? 1,252.00",? 698.00,0.64,2.26,2932,"? 1,547.00",2,0.580136069,0.95241663,FALSE,0.741005724,1
148,28-05-2025,Asset,2310,4024,"? 2,678.00","? 1,199.00","? 2,654.00",0.24,1.75,873,"? 1,425.00",8,0.630495696,0.953089529,FALSE,0.45053148,1
149,29-05-2025,Revenue,3342,3840,"? 3,105.00","? 4,770.00",? 189.00,0.71,2.69,4197,"? 1,509.00",4,1.415930716,0.948307845,FALSE,0.661488144,1
150,30-05-2025,Asset,263,3099,? 673.00,? 890.00,"? 3,501.00",0.49,0.82,4766,"? 3,521.00",1,1.436641579,0.962947827,FALSE,0.032093213,1
151,31-05-2025,Expense,2782,1789,"? 3,468.00","? 1,353.00","? 3,155.00",0.48,2.71,3129,"? 1,275.00",3,1.22974061,0.885478574,FALSE,0.547015536,1
152,01-06-2025,Expense,1708,2776,"? 2,530.00","? 3,191.00","? 1,184.00",0.48,0.91,904,? 325.00,3,0.992437686,0.970138813,FALSE,0.327473426,1
153,02-06-2025,Revenue,4516,1375,"? 1,452.00","? 4,540.00","? 1,505.00",0.60,2.78,4051,"? 3,058.00",3,0.753498142,0.903230239,FALSE,0.901471791,1
154,03-06-2025,Expense,3084,2538,"? 1,657.00","? 3,452.00",? 749.00,0.52,2.05,4121,"? 2,860.00",9,1.927641194,0.805407095,FALSE,0.608748978,1
